unit_no,signal_code,frozen_times,realtime_value,calendar_timestamp,filename,pentahocounter,batch_value
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 08:08:44', '2024-06-10 08:08:45', '2024-06-10 08:08:45']",0,2024-06-10 08:08:45.000,SD2406100627290-395001-SD1,12431.0,1.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],1,2024-06-10 08:08:54.600,SD2406100627290-395001-SD1,12479.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 08:08:55', '2024-06-10 08:08:55']",0,2024-06-10 08:08:55.200,SD2406100627290-395001-SD1,12482.0,1.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 08:10:25', '2024-06-10 08:10:25', '2024-06-10 08:10:26', '2024-06-10 08:10:26', '2024-06-10 08:10:26', '2024-06-10 08:10:26', '2024-06-10 08:10:26', '2024-06-10 08:10:27', '2024-06-10 08:10:27', '2024-06-10 08:10:27', '2024-06-10 08:10:27', '2024-06-10 08:10:27', '2024-06-10 08:10:28', '2024-06-10 08:10:28', '2024-06-10 08:10:28', '2024-06-10 08:10:28', '2024-06-10 08:10:28', '2024-06-10 08:10:29', '2024-06-10 08:10:29', '2024-06-10 08:10:29', '2024-06-10 08:10:29', '2024-06-10 08:10:29', '2024-06-10 08:10:30', '2024-06-10 08:10:30']",0,2024-06-10 08:10:25.800,,,
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 08:11:50', '2024-06-10 08:11:50', '2024-06-10 08:11:51', '2024-06-10 08:11:51', '2024-06-10 08:11:51', '2024-06-10 08:11:51', '2024-06-10 08:11:51', '2024-06-10 08:11:52', '2024-06-10 08:11:52', '2024-06-10 08:11:52', '2024-06-10 08:11:52', '2024-06-10 08:11:52', '2024-06-10 08:11:53', '2024-06-10 08:11:53', '2024-06-10 08:11:53', '2024-06-10 08:11:53', '2024-06-10 08:11:53', '2024-06-10 08:11:54', '2024-06-10 08:11:54', '2024-06-10 08:11:54', '2024-06-10 08:11:54', '2024-06-10 08:11:54', '2024-06-10 08:11:55', '2024-06-10 08:11:55']",0,2024-06-10 08:11:51.400,SD2406100627290-395001-SD1,13367.0,1.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 08:12:30', '2024-06-10 08:12:30', '2024-06-10 08:12:31', '2024-06-10 08:12:31', '2024-06-10 08:12:31', '2024-06-10 08:12:31', '2024-06-10 08:12:31', '2024-06-10 08:12:32', '2024-06-10 08:12:32', '2024-06-10 08:12:32', '2024-06-10 08:12:32', '2024-06-10 08:12:32', '2024-06-10 08:12:33', '2024-06-10 08:12:33', '2024-06-10 08:12:33', '2024-06-10 08:12:33', '2024-06-10 08:12:33', '2024-06-10 08:12:34', '2024-06-10 08:12:34', '2024-06-10 08:12:34', '2024-06-10 08:12:34', '2024-06-10 08:12:34', '2024-06-10 08:12:35', '2024-06-10 08:12:35']",0,2024-06-10 08:12:30.800,SD2406100627290-395001-SD1,13565.0,1.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 08:13:45', '2024-06-10 08:13:45', '2024-06-10 08:13:46', '2024-06-10 08:13:46', '2024-06-10 08:13:47', '2024-06-10 08:13:47', '2024-06-10 08:13:47', '2024-06-10 08:13:47', '2024-06-10 08:13:47', '2024-06-10 08:13:48', '2024-06-10 08:13:48', '2024-06-10 08:13:48', '2024-06-10 08:13:48', '2024-06-10 08:13:48', '2024-06-10 08:13:49', '2024-06-10 08:13:49', '2024-06-10 08:13:49', '2024-06-10 08:13:49', '2024-06-10 08:13:49']",0,2024-06-10 08:13:44.905,,,
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],1,2024-06-10 08:14:37.000,SD2406100627290-395001-SD1,14198.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],1,2024-06-10 08:15:16.600,SD2406100627290-395001-SD1,14397.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],4,2024-06-10 08:16:59.600,SD2406100627290-395001-SD1,14914.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],4,2024-06-10 08:17:00.200,SD2406100627290-395001-SD1,14917.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],3,2024-06-10 08:17:01.600,SD2406100627290-395001-SD1,14924.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],3,2024-06-10 08:17:02.000,SD2406100627290-395001-SD1,14926.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 08:18:50', '2024-06-10 08:18:51', '2024-06-10 08:18:51', '2024-06-10 08:18:51', '2024-06-10 08:18:51', '2024-06-10 08:18:51', '2024-06-10 08:18:52', '2024-06-10 08:18:52', '2024-06-10 08:18:52', '2024-06-10 08:18:52', '2024-06-10 08:18:52', '2024-06-10 08:18:53', '2024-06-10 08:18:53', '2024-06-10 08:18:53', '2024-06-10 08:18:53', '2024-06-10 08:18:53', '2024-06-10 08:18:54', '2024-06-10 08:18:54', '2024-06-10 08:18:54', '2024-06-10 08:18:54', '2024-06-10 08:18:54', '2024-06-10 08:18:55', '2024-06-10 08:18:55', '2024-06-10 08:18:55']",0,2024-06-10 08:18:50.800,,,
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 08:22:10', '2024-06-10 08:22:11', '2024-06-10 08:22:11', '2024-06-10 08:22:11', '2024-06-10 08:22:11', '2024-06-10 08:22:11', '2024-06-10 08:22:12', '2024-06-10 08:22:12', '2024-06-10 08:22:12', '2024-06-10 08:22:12', '2024-06-10 08:22:12', '2024-06-10 08:22:13', '2024-06-10 08:22:13', '2024-06-10 08:22:13', '2024-06-10 08:22:13', '2024-06-10 08:22:13', '2024-06-10 08:22:14', '2024-06-10 08:22:14', '2024-06-10 08:22:14', '2024-06-10 08:22:14', '2024-06-10 08:22:14', '2024-06-10 08:22:15', '2024-06-10 08:22:15', '2024-06-10 08:22:15']",0,2024-06-10 08:22:13.800,,,
